Year,Region,Technology,Hour,Fuel,value
2030,FR,PHS,44,Power,-0.0
2020,NO,Battery,81,Power,-0.0
2050,NO,Battery,78,Power,14.997158702464047
2050,DK,Battery,13,Power,39.82457498912519
2030,DK,PHS,90,Power,0.0
2020,UK,Battery,111,Power,4.998686017271068
2030,DK,H2Tank,17,H2,0.0
2030,UK,PHS,117,Power,-0.0
2020,DK,H2Tank,99,H2,0.0
2030,UK,H2Tank,113,H2,-0.0
2020,UK,Battery,76,Power,2.491626238852514
2030,DE,PHS,79,Power,-0.0
2040,UK,Battery,57,Power,274.73685669917194
2020,DE,Battery,31,Power,-0.0
2020,DK,H2Tank,74,H2,0.0
2040,DK,PHS,41,Power,0.0
2050,DE,PHS,106,Power,608.4633374331577
2040,NO,PHS,119,Power,-0.0
2030,NO,PHS,94,Power,-0.0
2030,UK,H2Tank,85,H2,7.957925016491228
2030,DK,PHS,43,Power,0.0
2020,NO,H2Tank,37,H2,0.20914679498794492
2030,DE,PHS,11,Power,-0.0
2040,DK,H2Tank,70,H2,5.482456140350877
2050,DE,Battery,103,Power,325.7104693883669
2020,NO,PHS,54,Power,-0.0
2030,FR,PHS,32,Power,-0.0
2040,DK,Battery,79,Power,42.075698995543625
2050,DE,Battery,19,Power,35.11419533905524
2030,DE,PHS,57,Power,-0.0
2020,DE,H2Tank,120,H2,29.704675461
2050,DK,H2Tank,53,H2,38.0
2040,DK,H2Tank,3,H2,11.0625
2040,NO,PHS,93,Power,-0.0
2040,NO,H2Tank,27,H2,14.920815139841666
2040,UK,H2Tank,39,H2,14.944624372588144
2050,NO,H2Tank,111,H2,59.85381200328022
2030,FR,H2Tank,42,H2,22.49643017018108
2040,DK,Battery,82,Power,74.64530431206086
2020,DE,Battery,100,Power,-0.0
2040,DK,PHS,100,Power,0.0
2020,DK,Battery,78,Power,32.48997392161585
2020,NO,Battery,117,Power,-0.0
2040,FR,PHS,8,Power,-0.0
2040,DK,PHS,54,Power,0.0
2030,UK,Battery,86,Power,99.89985105220555
2050,NO,Battery,21,Power,0.0
2050,DK,Battery,1,Power,143.19174111442769
2020,DK,Battery,6,Power,11.671644095596578
2020,UK,Battery,69,Power,-0.0
2040,UK,PHS,67,Power,-0.0
2050,FR,H2Tank,74,H2,26.945444674623023
2040,FR,Battery,28,Power,-0.0
2050,FR,H2Tank,116,H2,136.70964980692276
2020,DK,H2Tank,9,H2,0.0
2030,UK,Battery,36,Power,64.93926044261033
2020,DK,H2Tank,2,H2,0.0
2040,UK,Battery,67,Power,47.72613267540729
2050,DK,H2Tank,80,H2,40.0
2020,DE,H2Tank,41,H2,15.634039716315788
2040,DK,H2Tank,101,H2,7.125
2050,DE,PHS,23,Power,318.71824647465615
2030,FR,Battery,44,Power,-0.0
2020,DE,H2Tank,15,H2,-0.0
2020,NO,Battery,26,Power,-0.0
2030,DK,H2Tank,119,H2,0.0
2020,DE,Battery,23,Power,-0.0
2030,UK,PHS,1,Power,-0.0
2050,DE,H2Tank,16,H2,67.23592245394737
2050,DK,H2Tank,46,H2,6.853070175438597
2020,DK,H2Tank,82,H2,0.0
2030,UK,Battery,102,Power,141.14301939273926
2040,NO,PHS,10,Power,-0.0
2030,DK,PHS,17,Power,0.0
2020,DK,H2Tank,116,H2,0.0
2040,DE,H2Tank,71,H2,21.373307445964908
2050,DE,H2Tank,68,H2,72.63212554559587
2050,NO,PHS,77,Power,444.8541058422133
2050,DE,H2Tank,96,H2,175.0
2040,DE,PHS,87,Power,0.0
2050,NO,H2Tank,36,H2,17.446602200682282
2020,DE,Battery,109,Power,-0.0
2050,DK,PHS,74,Power,98.59717378591853
2030,DK,PHS,51,Power,0.0
2030,DE,H2Tank,97,H2,2.3810500447074183
2030,UK,H2Tank,75,H2,2.8499999999999996
2040,UK,H2Tank,20,H2,12.136565467017538
2050,DK,PHS,76,Power,101.39857803552046
2040,DE,Battery,81,Power,90.44326986769318
2050,UK,Battery,119,Power,626.7515686651998
2020,NO,H2Tank,110,H2,0.506604960799999
2030,DK,PHS,112,Power,0.0
2020,FR,Battery,53,Power,15.932866524385418
2030,DE,Battery,74,Power,15.419882504624875
2020,FR,H2Tank,3,H2,17.473674250084127
2020,NO,Battery,79,Power,-0.0
2020,NO,PHS,64,Power,0.0
2030,DE,Battery,113,Power,30.327853691368585
2030,DE,PHS,107,Power,-0.0
2040,DE,H2Tank,3,H2,70.30488505456535
2030,DK,H2Tank,15,H2,0.0
2050,FR,Battery,38,Power,357.70327091477355
2020,DE,Battery,118,Power,-0.0
2020,DE,PHS,15,Power,-0.0
2020,NO,H2Tank,31,H2,0.20914679498794492
2020,NO,H2Tank,56,H2,0.20914679498794492
2050,FR,Battery,20,Power,132.27051326860985
2050,NO,Battery,47,Power,0.0
2050,DK,PHS,93,Power,102.73816815758241
2050,UK,H2Tank,94,H2,91.18417281966448
2040,DK,H2Tank,91,H2,6.823860934759653
2050,DK,H2Tank,54,H2,40.0
2030,DE,H2Tank,31,H2,62.27467606683334
2040,NO,Battery,118,Power,-0.0
2020,UK,Battery,13,Power,1.2912596725947305
2030,UK,PHS,11,Power,-0.0
2040,DE,H2Tank,83,H2,122.77947617501971
2050,DE,H2Tank,94,H2,175.0
2030,DE,Battery,117,Power,30.31572436944196
2020,DE,PHS,14,Power,-0.0
2030,FR,Battery,90,Power,138.56802853204982
