Year,Region,Technology,value
2050,DK,BECCS,0.0
2020,UK,BECCS,0.0
2030,UK,BECCS,0.0
2040,UK,BECCS,0.0
2050,UK,BECCS,0.0
2020,DE,WindOnshore,65.0
2030,DE,WindOnshore,82.0
2040,DE,WindOnshore,99.0
2050,DE,WindOnshore,130.0
2020,FR,WindOnshore,84.0
2030,FR,WindOnshore,106.0
2040,FR,WindOnshore,140.0
2050,FR,WindOnshore,180.0
2020,NO,WindOnshore,24.225
2030,NO,WindOnshore,33.0
2040,NO,WindOnshore,39.0
2050,NO,WindOnshore,46.0
2020,DK,WindOnshore,35.8375
2030,DK,WindOnshore,49.0
2040,DK,WindOnshore,59.0
2050,DK,WindOnshore,70.0
2020,UK,WindOnshore,86.0
2030,UK,WindOnshore,113.0
2040,UK,WindOnshore,151.0
2050,UK,WindOnshore,210.0
2020,DE,ElectricHeater,0.0
2030,DE,ElectricHeater,-0.0
2040,DE,ElectricHeater,-0.0
2050,DE,ElectricHeater,39.924171
2020,FR,ElectricHeater,-0.0
2030,FR,ElectricHeater,-0.0
2040,FR,ElectricHeater,-0.0
2050,FR,ElectricHeater,20.767792500000002
2020,NO,ElectricHeater,0.0
2030,NO,ElectricHeater,0.0
2040,NO,ElectricHeater,0.0
2050,NO,ElectricHeater,5.5427085
2020,DK,ElectricHeater,-0.0
2030,DK,ElectricHeater,-0.0
2040,DK,ElectricHeater,-0.0
2050,DK,ElectricHeater,20.142675000000004
2020,UK,ElectricHeater,0.0
2030,UK,ElectricHeater,0.0
2040,UK,ElectricHeater,3.594787657040192
2050,UK,ElectricHeater,53.363039625
2020,DE,WindOffshore,13.0
2030,DE,WindOffshore,21.0
2040,DE,WindOffshore,32.0
2050,DE,WindOffshore,45.0
2020,FR,WindOffshore,6.0
2030,FR,WindOffshore,11.0
2040,FR,WindOffshore,25.0
2050,FR,WindOffshore,24.0
2020,NO,WindOffshore,-0.0
2030,NO,WindOffshore,5.0
2040,NO,WindOffshore,8.0
2050,NO,WindOffshore,30.0
2020,DK,WindOffshore,-0.0
2030,DK,WindOffshore,7.0
2040,DK,WindOffshore,12.0
2050,DK,WindOffshore,30.0
2020,UK,WindOffshore,4.0
2030,UK,WindOffshore,7.0
2040,UK,WindOffshore,20.0
2050,UK,WindOffshore,30.0
