Year,Region,Technology,Hour,Fuel,value
2020,FR,PHS,119,Power,-0.0
2040,DE,PHS,1,Power,-0.0
2030,DK,H2Tank,27,H2,0.0
2020,FR,H2Tank,13,H2,7.104404850354235
2040,NO,Battery,84,Power,0.0
2020,DK,PHS,38,Power,0.0
2040,FR,H2Tank,20,H2,22.42321714989042
2040,DK,Battery,100,Power,41.171257469208335
2050,FR,PHS,60,Power,434.14654114478867
2050,NO,Battery,49,Power,0.0
2030,UK,Battery,95,Power,99.80997714181473
2030,UK,Battery,93,Power,99.82994213194169
2020,DE,PHS,117,Power,-0.0
2020,UK,H2Tank,40,H2,2.0182641733000004
2040,NO,Battery,88,Power,0.0
2030,DK,PHS,30,Power,0.0
2030,UK,H2Tank,16,H2,3.80526315789473
2040,DE,H2Tank,63,H2,130.0
2050,FR,PHS,80,Power,574.129119112869
2040,NO,PHS,39,Power,-0.0
2020,UK,H2Tank,117,H2,5.0
2020,DE,Battery,51,Power,-0.0
2040,UK,PHS,9,Power,-0.0
2030,UK,H2Tank,82,H2,12.0
2040,FR,Battery,99,Power,388.57969609876795
2040,DK,H2Tank,47,H2,4.055272421754385
2030,UK,Battery,109,Power,93.45713701049652
2050,FR,PHS,93,Power,513.6908407879121
2050,DK,H2Tank,88,H2,40.0
2030,NO,Battery,10,Power,-0.0
2020,FR,PHS,115,Power,-0.0
2030,UK,PHS,116,Power,-0.0
2040,FR,H2Tank,18,H2,36.12935750076761
2040,NO,H2Tank,16,H2,6.286308786561403
2030,DE,Battery,37,Power,0.0
2040,DE,Battery,105,Power,77.32784600857723
2040,UK,PHS,30,Power,-0.0
2020,DK,Battery,55,Power,39.7530639871666
2020,UK,PHS,80,Power,-0.0
2030,DK,PHS,46,Power,0.0
2040,NO,Battery,56,Power,-0.0
2020,UK,Battery,11,Power,1.2915179632722036
2030,DK,H2Tank,118,H2,0.0
2030,DE,H2Tank,111,H2,9.582166625927766
2030,NO,H2Tank,70,H2,-0.0
2040,FR,Battery,107,Power,371.0937669276432
2050,DE,Battery,70,Power,337.1953617115111
2040,DE,PHS,74,Power,-0.0
2040,DE,H2Tank,17,H2,11.440627664744724
2050,DK,Battery,101,Power,137.21876235671928
2030,NO,Battery,18,Power,0.0
2050,NO,H2Tank,46,H2,9.492097217039476
2040,FR,PHS,52,Power,-0.0
2040,NO,H2Tank,32,H2,36.20173634
2020,FR,H2Tank,37,H2,22.34748556628389
2020,UK,PHS,104,Power,-0.0
2040,DE,PHS,70,Power,-0.0
2040,FR,PHS,86,Power,-0.0
2040,DE,Battery,14,Power,-0.0
2040,NO,H2Tank,11,H2,26.10672916890351
2020,UK,PHS,54,Power,-0.0
2030,DE,Battery,65,Power,15.433767340371194
2020,UK,Battery,89,Power,5.009695783308353
2030,DK,H2Tank,62,H2,0.0
2050,FR,H2Tank,105,H2,200.0
2050,NO,PHS,75,Power,398.25954328947864
2040,NO,H2Tank,17,H2,6.286308786561403
2040,DK,Battery,65,Power,26.026936241367796
2030,FR,Battery,19,Power,3.386146740812927
2050,UK,H2Tank,28,H2,5.527546793664677
2030,DE,Battery,4,Power,-0.0
2040,NO,PHS,118,Power,-0.0
2040,DK,H2Tank,37,H2,15.0
2050,UK,H2Tank,112,H2,111.32208447982455
2050,DK,Battery,20,Power,-0.0
2030,DK,PHS,97,Power,0.0
2040,FR,PHS,39,Power,-0.0
2030,NO,H2Tank,94,H2,14.00206608725
2020,FR,H2Tank,81,H2,40.0
2030,FR,PHS,71,Power,-0.0
2040,DK,PHS,22,Power,0.0
2020,UK,Battery,104,Power,5.002186497535235
2020,UK,Battery,51,Power,-0.0
2030,DE,Battery,54,Power,20.90082247861042
2040,DK,PHS,13,Power,0.0
2040,FR,H2Tank,101,H2,50.630602838534294
2030,DK,Battery,93,Power,42.17997408953635
2050,DE,PHS,103,Power,610.2923843192551
2040,FR,Battery,72,Power,158.79715011540696
2040,FR,H2Tank,62,H2,100.0
2050,FR,H2Tank,86,H2,190.63497710217487
2030,DE,PHS,12,Power,-0.0
2020,UK,H2Tank,68,H2,1.2069720945168436
2030,NO,Battery,77,Power,-0.0
2030,NO,PHS,81,Power,-0.0
2030,NO,H2Tank,55,H2,39.615413054675
2040,DK,H2Tank,76,H2,10.6875
2040,DE,H2Tank,40,H2,102.39374713052631
