Year,Region,Technology,Hour,Fuel,value
2020,FR,PHS,118,Power,-0.0
2020,NO,PHS,12,Power,-0.0
2040,DE,Battery,23,Power,-0.0
2030,NO,PHS,92,Power,-0.0
2050,NO,Battery,107,Power,-0.0
2050,NO,H2Tank,63,H2,125.36792777793302
2020,UK,Battery,84,Power,4.895588320574266
2020,DK,Battery,4,Power,14.281977627100863
2030,FR,PHS,83,Power,-0.0
2040,DK,H2Tank,82,H2,15.0
2020,DE,H2Tank,118,H2,29.704675461
2050,DE,Battery,73,Power,193.3404074050642
2050,FR,Battery,64,Power,626.8897368280765
2020,FR,Battery,40,Power,-0.0
2040,DK,H2Tank,116,H2,0.0
2050,DK,Battery,102,Power,181.30480674562588
2050,DK,H2Tank,107,H2,36.1025205777088
2020,UK,H2Tank,84,H2,8.394400532785827
2030,FR,Battery,55,Power,99.49916492245512
2020,FR,H2Tank,15,H2,3.5087719298245617
2030,DK,PHS,49,Power,0.0
2030,FR,H2Tank,76,H2,21.312936639068692
2040,DE,Battery,109,Power,85.40723301675695
2050,DE,PHS,93,Power,616.4290089454943
2020,FR,Battery,80,Power,50.0
2020,NO,Battery,48,Power,-0.0
2050,NO,PHS,108,Power,443.57176157451653
2020,DK,H2Tank,35,H2,0.0
2040,NO,H2Tank,110,H2,31.82370751075
2030,DK,H2Tank,41,H2,0.0
2040,FR,Battery,53,Power,64.53467263848306
2040,FR,H2Tank,3,H2,50.0
2040,NO,Battery,79,Power,-0.0
2040,NO,PHS,64,Power,-0.0
2050,DE,PHS,10,Power,476.9078717699457
2030,NO,PHS,31,Power,-0.0
2020,UK,PHS,42,Power,-0.0
2030,UK,PHS,56,Power,-0.0
2030,NO,PHS,80,Power,-0.0
2030,DE,Battery,80,Power,30.428105946483807
2050,FR,Battery,25,Power,42.75351513699072
2030,NO,H2Tank,114,H2,0.6779885382499975
2050,NO,PHS,61,Power,356.9446369911655
2020,NO,Battery,5,Power,-0.0
2030,FR,Battery,3,Power,52.860046139711486
2040,DE,Battery,118,Power,76.88833249047337
2040,DE,PHS,15,Power,-0.0
2040,NO,H2Tank,31,H2,0.2775663345499997
2040,NO,H2Tank,56,H2,12.680560523225001
2030,NO,Battery,106,Power,-0.0
2020,NO,H2Tank,7,H2,0.506604960799999
2050,FR,H2Tank,60,H2,200.0
2050,DK,Battery,85,Power,297.6637144063769
2030,NO,PHS,4,Power,-0.0
2050,DE,Battery,35,Power,303.08296057624887
2050,NO,PHS,55,Power,329.10777440849455
2020,NO,H2Tank,20,H2,0.26596760441999945
2050,UK,Battery,35,Power,392.66116096331535
2020,DE,Battery,88,Power,-0.0
2020,DK,Battery,54,Power,20.125875336462933
2030,FR,PHS,111,Power,-0.0
2030,NO,Battery,12,Power,-0.0
2050,DK,H2Tank,77,H2,38.0
2050,FR,PHS,95,Power,522.4777081011082
2020,DK,PHS,79,Power,0.0
2020,FR,PHS,43,Power,-0.0
2050,UK,Battery,27,Power,0.0
2020,NO,PHS,30,Power,-0.0
2050,FR,Battery,74,Power,225.3928745185947
2050,FR,H2Tank,65,H2,165.734649122807
2050,NO,Battery,2,Power,-0.0
2040,UK,Battery,13,Power,48.69707757547618
2050,DE,Battery,2,Power,233.56217534456601
2030,DE,H2Tank,72,H2,-0.0
2030,DK,H2Tank,55,H2,0.0
2030,NO,PHS,72,Power,-0.0
2030,UK,PHS,25,Power,-0.0
2050,NO,PHS,91,Power,457.21474878832953
2020,UK,H2Tank,92,H2,6.640014567873546
2050,FR,Battery,11,Power,386.96797903299756
2050,NO,Battery,6,Power,-0.0
2040,DE,PHS,14,Power,-0.0
2020,UK,Battery,85,Power,4.895098761742209
2020,NO,H2Tank,52,H2,0.26596760441999945
2040,FR,Battery,96,Power,359.1440808399073
2040,UK,Battery,62,Power,132.12545298678828
2050,NO,H2Tank,9,H2,69.84739065111842
2050,FR,Battery,1,Power,593.3498759377163
2050,FR,Battery,27,Power,0.0
2040,FR,H2Tank,48,H2,13.706140350877194
2030,DE,H2Tank,93,H2,-0.0
2050,NO,H2Tank,24,H2,-0.0
2020,UK,PHS,39,Power,-0.0
2040,DK,PHS,69,Power,0.0
2040,FR,Battery,114,Power,200.12004201120246
2050,DE,PHS,114,Power,603.6126336757517
2030,NO,Battery,13,Power,-0.0
2040,UK,H2Tank,111,H2,8.526849261477217
2030,UK,H2Tank,58,H2,12.0
2040,NO,Battery,65,Power,0.0
2030,DK,PHS,77,Power,0.0
2020,DK,PHS,60,Power,0.0
2040,DE,Battery,61,Power,138.08265401799116
2050,DE,H2Tank,64,H2,154.44078947368422
2040,UK,Battery,22,Power,-0.0
2040,DK,PHS,87,Power,0.0
2040,NO,PHS,53,Power,-0.0
2020,DE,H2Tank,20,H2,-0.0
2030,NO,Battery,71,Power,-0.0
2040,UK,Battery,107,Power,186.7541547087184
2030,DK,H2Tank,103,H2,0.0
2050,UK,H2Tank,38,H2,130.0
2030,UK,H2Tank,71,H2,4.035087719298247
2040,FR,Battery,41,Power,-0.0
2040,DK,PHS,55,Power,0.0
2030,DE,PHS,67,Power,-0.0
2030,DE,PHS,101,Power,-0.0
2030,DK,PHS,119,Power,0.0
2030,UK,H2Tank,72,H2,3.1578947368421053
2030,FR,PHS,92,Power,-0.0
2030,DE,PHS,52,Power,-0.0
2050,DE,Battery,56,Power,454.0365653017804
2020,DK,PHS,80,Power,0.0
2030,FR,PHS,62,Power,-0.0
2040,UK,Battery,16,Power,34.98066780971147
2030,DK,PHS,114,Power,0.0
2030,NO,Battery,116,Power,-0.0
2020,DK,H2Tank,34,H2,0.0
2050,FR,PHS,64,Power,499.20052472963886
2020,DE,PHS,4,Power,-0.0
2020,DE,H2Tank,81,H2,32.616663327575
2020,NO,Battery,64,Power,-0.0
2050,FR,PHS,18,Power,316.0975352066127
2020,DE,Battery,98,Power,-0.0
2020,DE,H2Tank,102,H2,29.704675461
2020,UK,Battery,116,Power,3.606829934074646
2040,DE,PHS,46,Power,-0.0
2040,NO,PHS,89,Power,-0.0
2030,DK,H2Tank,97,H2,0.0
2020,FR,Battery,105,Power,49.875149885063244
2050,NO,H2Tank,2,H2,73.83134477236842
2040,FR,PHS,65,Power,-0.0
2040,DK,PHS,10,Power,0.0
2020,NO,H2Tank,81,H2,0.506604960799999
2020,DK,PHS,58,Power,0.0
2050,DK,H2Tank,27,H2,-0.0
2020,NO,Battery,36,Power,-0.0
2030,DK,Battery,48,Power,0.0
2040,DE,PHS,110,Power,-0.0
2020,UK,PHS,82,Power,-0.0
2020,UK,H2Tank,19,H2,-0.0
2050,UK,Battery,95,Power,1165.7044182771888
2050,UK,Battery,93,Power,1165.9375941366402
2020,DK,Battery,10,Power,9.681307772087612
2050,DK,PHS,30,Power,52.88698755242766
2050,UK,H2Tank,16,H2,103.57200268442207
2040,UK,H2Tank,24,H2,7.894736842105263
2020,NO,Battery,29,Power,-0.0
2050,UK,H2Tank,82,H2,130.0
