Year,Hour,From,To,Fuel,value
2040,95,DE,DE,Power,-0.0
2050,95,DE,DE,Power,-0.0
2020,96,DE,DE,Power,-0.0
2030,96,DE,DE,Power,-0.0
2040,96,DE,DE,Power,-0.0
2050,96,DE,DE,Power,-0.0
2020,97,DE,DE,Power,-0.0
2030,97,DE,DE,Power,-0.0
2040,97,DE,DE,Power,-0.0
2050,97,DE,DE,Power,-0.0
2020,98,DE,DE,Power,-0.0
2030,98,DE,DE,Power,-0.0
2040,98,DE,DE,Power,-0.0
2050,98,DE,DE,Power,-0.0
2020,99,DE,DE,Power,-0.0
2030,99,DE,DE,Power,-0.0
2040,99,DE,DE,Power,-0.0
2050,99,DE,DE,Power,-0.0
2020,100,DE,DE,Power,-0.0
2030,100,DE,DE,Power,-0.0
2040,100,DE,DE,Power,-0.0
2050,100,DE,DE,Power,-0.0
2020,101,DE,DE,Power,-0.0
2030,101,DE,DE,Power,-0.0
2040,101,DE,DE,Power,-0.0
2050,101,DE,DE,Power,-0.0
2020,102,DE,DE,Power,-0.0
2030,102,DE,DE,Power,-0.0
2040,102,DE,DE,Power,-0.0
2050,102,DE,DE,Power,-0.0
2020,103,DE,DE,Power,-0.0
2030,103,DE,DE,Power,-0.0
2040,103,DE,DE,Power,-0.0
2050,103,DE,DE,Power,-0.0
2020,104,DE,DE,Power,-0.0
2030,104,DE,DE,Power,-0.0
2040,104,DE,DE,Power,-0.0
2050,104,DE,DE,Power,-0.0
2020,105,DE,DE,Power,-0.0
2030,105,DE,DE,Power,-0.0
2040,105,DE,DE,Power,-0.0
2050,105,DE,DE,Power,-0.0
2020,106,DE,DE,Power,-0.0
2030,106,DE,DE,Power,-0.0
2040,106,DE,DE,Power,-0.0
2050,106,DE,DE,Power,-0.0
2020,107,DE,DE,Power,-0.0
2030,107,DE,DE,Power,-0.0
2040,107,DE,DE,Power,-0.0
2050,107,DE,DE,Power,-0.0
2020,108,DE,DE,Power,-0.0
2030,108,DE,DE,Power,-0.0
2040,108,DE,DE,Power,-0.0
2050,108,DE,DE,Power,-0.0
2020,109,DE,DE,Power,-0.0
2030,109,DE,DE,Power,-0.0
2040,109,DE,DE,Power,-0.0
2050,109,DE,DE,Power,-0.0
2020,110,DE,DE,Power,-0.0
2030,110,DE,DE,Power,-0.0
2040,110,DE,DE,Power,-0.0
2050,110,DE,DE,Power,-0.0
2020,111,DE,DE,Power,-0.0
2030,111,DE,DE,Power,-0.0
2040,111,DE,DE,Power,-0.0
2050,111,DE,DE,Power,-0.0
2020,112,DE,DE,Power,-0.0
2030,112,DE,DE,Power,-0.0
2040,112,DE,DE,Power,-0.0
2050,112,DE,DE,Power,-0.0
2020,113,DE,DE,Power,-0.0
2030,113,DE,DE,Power,-0.0
2040,113,DE,DE,Power,-0.0
2050,113,DE,DE,Power,-0.0
2020,114,DE,DE,Power,-0.0
2030,114,DE,DE,Power,-0.0
2040,114,DE,DE,Power,-0.0
2050,114,DE,DE,Power,-0.0
2020,115,DE,DE,Power,-0.0
2030,115,DE,DE,Power,-0.0
2040,115,DE,DE,Power,-0.0
2050,115,DE,DE,Power,-0.0
2020,116,DE,DE,Power,-0.0
2030,116,DE,DE,Power,-0.0
2040,116,DE,DE,Power,-0.0
2050,116,DE,DE,Power,-0.0
2020,117,DE,DE,Power,-0.0
2030,117,DE,DE,Power,-0.0
2040,117,DE,DE,Power,-0.0
2050,117,DE,DE,Power,-0.0
2020,118,DE,DE,Power,-0.0
2030,118,DE,DE,Power,-0.0
2040,118,DE,DE,Power,-0.0
2050,118,DE,DE,Power,-0.0
2020,119,DE,DE,Power,-0.0
2030,119,DE,DE,Power,-0.0
2040,119,DE,DE,Power,-0.0
2050,119,DE,DE,Power,-0.0
2020,120,DE,DE,Power,-0.0
2030,120,DE,DE,Power,-0.0
2040,120,DE,DE,Power,-0.0
2050,120,DE,DE,Power,-0.0
2020,1,FR,DE,Power,-0.0
2030,1,FR,DE,Power,-0.0
2040,1,FR,DE,Power,-0.0
2050,1,FR,DE,Power,-0.0
2020,2,FR,DE,Power,-0.0
2030,2,FR,DE,Power,-0.0
2040,2,FR,DE,Power,-0.0
2050,2,FR,DE,Power,-0.0
2020,3,FR,DE,Power,-0.0
2030,3,FR,DE,Power,-0.0
2040,3,FR,DE,Power,-0.0
2050,3,FR,DE,Power,-0.0
2020,4,FR,DE,Power,-0.0
2030,4,FR,DE,Power,-0.0
2040,4,FR,DE,Power,-0.0
2050,4,FR,DE,Power,-0.0
2020,5,FR,DE,Power,-0.0
2030,5,FR,DE,Power,-0.0
2040,5,FR,DE,Power,-0.0
2050,5,FR,DE,Power,-0.0
2020,6,FR,DE,Power,-0.0
2030,6,FR,DE,Power,-0.0
2040,6,FR,DE,Power,-0.0
2050,6,FR,DE,Power,-0.0
2020,7,FR,DE,Power,-0.0
2030,7,FR,DE,Power,-0.0
2040,7,FR,DE,Power,-0.0
2050,7,FR,DE,Power,-0.0
2020,8,FR,DE,Power,-0.0
2030,8,FR,DE,Power,-0.0
2040,8,FR,DE,Power,-0.0
2050,8,FR,DE,Power,-0.0
2020,9,FR,DE,Power,-0.0
2030,9,FR,DE,Power,-0.0
2040,9,FR,DE,Power,-0.0
2050,9,FR,DE,Power,-0.0
2020,10,FR,DE,Power,-0.0
2030,10,FR,DE,Power,-0.0
2040,10,FR,DE,Power,-0.0
2050,10,FR,DE,Power,-0.0
2020,11,FR,DE,Power,-0.0
2030,11,FR,DE,Power,-0.0
2040,11,FR,DE,Power,-0.0
2050,11,FR,DE,Power,-0.0
2020,12,FR,DE,Power,-0.0
2030,12,FR,DE,Power,-0.0
2040,12,FR,DE,Power,-0.0
2050,12,FR,DE,Power,-0.0
2020,13,FR,DE,Power,-0.0
2030,13,FR,DE,Power,-0.0
2040,13,FR,DE,Power,-0.0
2050,13,FR,DE,Power,-0.0
2020,14,FR,DE,Power,-0.0
2030,14,FR,DE,Power,-0.0
2040,14,FR,DE,Power,-0.0
2050,14,FR,DE,Power,-0.0
2020,15,FR,DE,Power,-0.0
2030,15,FR,DE,Power,-0.0
2040,15,FR,DE,Power,-0.0
2050,15,FR,DE,Power,-0.0
2020,16,FR,DE,Power,-0.0
2030,16,FR,DE,Power,-0.0
2040,16,FR,DE,Power,-0.0
2050,16,FR,DE,Power,-0.0
2020,17,FR,DE,Power,-0.0
2030,17,FR,DE,Power,-0.0
2040,17,FR,DE,Power,-0.0
2050,17,FR,DE,Power,-0.0
2020,18,FR,DE,Power,-0.0
2030,18,FR,DE,Power,-0.0
2040,18,FR,DE,Power,-0.0
2050,18,FR,DE,Power,-0.0
2020,19,FR,DE,Power,-0.0
2030,19,FR,DE,Power,-0.0
2040,19,FR,DE,Power,-0.0
2050,19,FR,DE,Power,-0.0
2020,20,FR,DE,Power,-0.0
2030,20,FR,DE,Power,-0.0
2040,20,FR,DE,Power,-0.0
2050,20,FR,DE,Power,-0.0
2020,21,FR,DE,Power,-0.0
2030,21,FR,DE,Power,-0.0
2040,21,FR,DE,Power,-0.0
2050,21,FR,DE,Power,-0.0
2020,22,FR,DE,Power,-0.0
2030,22,FR,DE,Power,-0.0
2040,22,FR,DE,Power,-0.0
2050,22,FR,DE,Power,-0.0
2020,23,FR,DE,Power,-0.0
2030,23,FR,DE,Power,-0.0
2040,23,FR,DE,Power,-0.0
2050,23,FR,DE,Power,-0.0
2020,24,FR,DE,Power,-0.0
2030,24,FR,DE,Power,-0.0
2040,24,FR,DE,Power,-0.0
2050,24,FR,DE,Power,-0.0
2020,25,FR,DE,Power,-0.0
2030,25,FR,DE,Power,-0.0
2040,25,FR,DE,Power,-0.0
2050,25,FR,DE,Power,-0.0
2020,26,FR,DE,Power,-0.0
2030,26,FR,DE,Power,-0.0
2040,26,FR,DE,Power,-0.0
2050,26,FR,DE,Power,-0.0
2020,27,FR,DE,Power,-0.0
2030,27,FR,DE,Power,-0.0
2040,27,FR,DE,Power,-0.0
